epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2279,3.15087,74.9814,0.97054,0.00387,0.14851,0.0015,0.00034,3.03696,465.249,0.79146,0.00052,0.00052,0.00052
2,26.5404,3.4829,6.32222,0.98844,0.01043,0.0495,0.00175,0.00028,3.32646,52.8835,0.85325,0.00095506,0.00095506,0.00095506
3,37.7403,3.38425,2.74748,0.97416,0.03237,0.13861,0.01081,0.00221,3.26015,29.1826,0.79003,0.0012832,0.0012832,0.0012832
4,48.4326,3.03074,2.37057,0.91315,0.02917,0.06931,0.01877,0.00617,3.50791,4.0044,0.82032,0.001406,0.001406,0.001406
5,58.966,3.08332,1.89292,0.94321,0.468,0.15842,0.15926,0.0426,2.57668,1.97432,0.71687,0.001208,0.001208,0.001208
6,69.8307,2.91809,1.78279,0.93264,0.3254,0.16832,0.09034,0.01741,3.18278,2.78779,0.76865,0.00101,0.00101,0.00101
7,80.2658,2.92322,1.74111,0.90894,0.36442,0.26733,0.21306,0.05958,2.32172,1.65836,0.66865,0.000812,0.000812,0.000812
8,90.6204,2.59696,1.46047,0.89784,0.16525,0.38614,0.18313,0.05083,2.79909,2.20346,0.71749,0.000614,0.000614,0.000614
9,101.49,2.44283,1.42954,0.88009,0.59136,0.36634,0.40155,0.15032,2.33352,1.53189,0.72168,0.000416,0.000416,0.000416
